geohash7;CONNECTION_ENODEBID;CONNECTION_MOBILECHANNEL;CONNECTION_BAND;LOCATION_ALTITUDE;LOCATION_HORIZONTALACCURACY;LOCATION_VERTICALACCURACY;LOCATION_AVAILABILITY;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTBYTE;QOS_DOWNLOADTHROUGHPUTTESTSIZE;QOS_LATENCYMIN;QOS_LATENCYAVERAGE;QOS_JITTERMIN;QOS_JITTERAVERAGE;QOS_PACKETLOSSDISCARDPERCENTAGE;QOS_PACKETLOSSLOSTPERCENTAGE;QOS_ICMPLATENCYMIN;QOS_LINKDOWNSTREAMBANDWIDTH;QOS_LINKUPSTREAMBANDWIDTH;QOS_SIGNALLEVEL;QOS_ASU;QOS_DELTATRANSMITTEDBYTES;QOS_DELTARECEIVEDBYTES;QOS_DELTATRANSCEIVEDBYTES;QOS_RSSNR;QOS_TA;LOCATION_HORIZONTALACCURACYASSESSMENT;QOS_UPLOADTHROUGHPUTDNSLOOKUP;QOS_UPLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_DOWNLOADTHROUGHPUTDNSLOOKUP;QOS_DOWNLOADTHROUGHPUTTIMETOFIRSTACCESS;QOS_SERVERRESPONSEDNSLOOKUP;QOS_ICMPLATENCYAVERAGE;QOS_ICMPPACKETLOSSLOSTPERCENTAGE;QOS_ICMPTESTCONFIGPACKETDELAY;QOS_ICMPTESTCONFIGPACKETSIZE;QOS_ICMPTESTCONFIGSENTPACKETS;QOS_ICMPTESTCONFIGTTL;QOS_ICMPTESTCONFIGBYTESSENT;QOS_ICMPTESTCONFIGARGUMENTS;QOS_ICMPTRACEROUTETESTCONFIGPACKETDELAY;QOS_ICMPTRACEROUTETESTCONFIGMAXHOPCOUNT;QOS_ICMPTRACEROUTETESTSENTPACKETS;QOS_VISIBLECELLTOWERS;QOS_CELLBANDWIDTHS;Operador;LAT;LON;Potencia;Calidad;hora;Hora_etiq;bytes_tras;bytres_rec;bytes_tot;tiempo_conec;vel_subida;vel_bajada;Clasif_Vel_baj;CONNECTION_CATEGORY;QOS_LOCALDATE
63vtx6s;524.584,00;3.300;2600 MHz (Band 7);568;42;1,33;UNKNOWN;243;2.097.152;34,25;40,01;0,01;2,84;0;0;11,94;30.000;15.000;4;49;1.198.072;2.259.208;3.457.280;1;1;0;44;173;31;154;62;17,89;0;200;32;10;109;60;;200;30;3;3;20000;A;-34,18;-70,69;-91;-12;12;12_13;1.198.072;2.259.208;3.457.280;200;6.079,92;22.778,89;1;4G;08-01-2022 12:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);575;15;1,33;AVAILABLE;310;2.097.152;33,5;41,65;0,03;4,21;0;0;16,1;30.000;15.000;3;36;1.124.350;2.226.134;3.350.484;12;4;5.954,09;62;192;38;210;54;20,61;0;200;32;10;8;60;;200;30;3;1;;B;-34,18;-70,69;-104;-11;20;20_21;1.124.350;2.226.134;3.350.484;4.840;6.024,61;36.997,49;1;4G;08-01-2022 20:00:00.000000
63vtx4r;524.584,00;3.300;2600 MHz (Band 7);568,3;24,1;1,36;AVAILABLE;235;2.097.152;35,93;100,21;0,09;11,95;0;0;8,07;102.400;51.200;3;38;1.264.010;6.198.259;7.462.269;8;8;452,41;186;323;30;153;121;17,33;0;200;32;10;14;60;;200;30;3;1;20000;A;-34,18;-70,7;-102;-14;23;23_24;1.264.010;6.198.259;7.462.269;133;4.603,52;10.363,70;1;4G;08-01-2022 23:00:00.000000
63vtxe0;524.584,00;3.300;2600 MHz (Band 7);567;51;1,33;AVAILABLE;215;2.097.152;35,54;46,71;0,24;9,47;0;0;22,65;102.400;51.200;4;54;1.393.395;2.584.976;3.978.371;10;2;0;114;277;42;159;52;27,38;0;200;32;10;9;60;;200;30;3;20;;A;-34,17;-70,69;-90;-15;9;9_10;1.393.395;2.584.976;3.978.371;69;8.353,91;54.363,12;1;4G;09-01-2022 09:00:00.000000
63vtwfg;16.789,00;66.961;1700 MHz Extended AWS (Band 66);555,8;45,6;1,33;AVAILABLE;224;2.097.152;31,9;38,49;0,02;2,77;0;0;9,28;30.000;15.000;4;56;1.198.362;2.435.813;3.634.175;11;1;4.869,94;32;181;37;134;31;15,02;0;200;32;10;7;60;;200;30;3;1;15000;B;-34,17;-70,71;-84;-10;12;12_13;1.198.362;2.435.813;3.634.175;2.881;5.044,18;41.273,10;1;4G;09-01-2022 12:00:00.000000
63vtx0p;3.715,00;9.610;700 MHz APT (Band 28);565;2.000,00;1,33;AVAILABLE;1.159;2.097.152;35,07;39,97;0,13;4,39;19;10;74,91;30.000;15.000;3;34;1.237.975;2.304.302;3.542.277;-2;8;0;37;340;60;650;5;77,23;0;200;32;10;29;60;;200;30;3;14;10000, 20000;D;-34,19;-70,7;-106;-14;20;20_21;1.237.975;2.304.302;3.542.277;480;5.515,69;11.422,88;1;4G;09-01-2022 20:00:00.000000
63vtx7d;12.994,00;3.100;2600 MHz (Band 7);563;17;2,22;UNKNOWN;173;5.242.880;36,72;39,46;0,02;1,88;0;0;11,57;102.400;51.200;3;47;1.181.438;5.506.993;6.688.431;12;9;269,95;21;347;28;105;46;16,19;0;200;32;10;25;60;;200;30;3;1;;C;-34,17;-70,69;-92;-9;0;0_1;1.181.438;5.506.993;6.688.431;373;21.378,34;34.240,36;1;4G;10-01-2022 00:00:00.000000
63vtx7h;12.994,00;3.100;2600 MHz (Band 7);567;1.799,00;2,18;AVAILABLE;628;2.097.152;34,47;42,12;0;4,26;0;0;10,15;30.000;15.000;4;48;1.220.143;3.824.730;5.044.873;5;3;0;31;207;52;516;32;18,12;0;200;32;10;13;60;;200;30;3;2;;C;-34,17;-70,69;-92;-10;17;17_18;1.220.143;3.824.730;5.044.873;741;6.700,52;6.559,82;0;4G;10-01-2022 17:00:00.000000
63vtx4r;524.584,00;3.300;2600 MHz (Band 7);567;83;1,33;AVAILABLE;287;5.242.880;38,96;61,43;0,06;10,98;0;0;9,71;102.400;51.200;4;52;1.266.286;5.984.615;7.250.901;12;4;0;116;289;100;214;78;18,94;0;200;32;10;3;60;;200;30;3;1;;A;-34,18;-70,7;-87;-19;20;20_21;1.266.286;5.984.615;7.250.901;390;5.261,18;8.935,28;0;4G;10-01-2022 20:00:00.000000
63vtx6j;16.789,00;2.300;1700 MHz AWS-1 (Band 4);575;21;1,52;AVAILABLE;396;2.097.152;33,47;41,13;0;3,69;0;0;20,31;30.000;15.000;3;38;1.143.504;2.232.991;3.376.495;7;4;0,68;45;175;39;257;131;26,07;0;200;32;10;7;60;;200;30;3;1;;B;-34,18;-70,69;-102;-15;21;21_22;1.143.504;2.232.991;3.376.495;10.613;20.026,31;48.783,21;1;4G;10-01-2022 21:00:00.000000
